r_i_docking_score,ZINC_ID,SMILES
-19.015556,ZINC000495048274,COc1ccccc1OCC(=O)Nc1cccc(NC(=O)CCc2ccc(O)nc2)c1
-19.013622,ZINC000498776937,O=C(CNc1ccccc1[N+](=O)[O-])NCc1ccc(-n2cnc3ccccc32)cc1
-19.01206,ZINC000843109621,COc1ccc(OC)c([C@H](O)CNC[C@@H](O)c2ccc(-c3ccccc3)cc2)c1
-19.010443,ZINC000009137849,O=C(CSc1nnc(-c2cccs2)n1Cc1ccccc1)N1CCN(c2ccc(F)cc2)CC1
-19.009035,ZINC001220685543,CC1(C)CC[C@H](CNC(=O)NCCCN2CCN(c3ccccc3)CC2)c2ccccc21
-19.008688,ZINC000026533121,COC(=O)c1cc(NC(=O)[C@@H](C)OC(=O)c2cc3cc(F)ccc3s2)cc(C(=O)OC)c1
-19.008385,ZINC001684484943,CN1C[C@@H](CNC(=O)NC(C)(C)Cc2ccc(C(F)(F)F)cc2)[C@H](c2ccccc2)C1
-19.007301,ZINC001116273228,O=C(NCCCC(=O)N1Cc2ccccc2C1)NCCc1c(F)cccc1Cl
-19.006435,ZINC000850101374,CCn1c(O)nc2cc(C(=O)OCC(=O)NCCc3ccccc3C)ccc21
-19.006195,ZINC000765378913,C[C@@H](Cc1cccc(F)c1)NCCC(=O)N1CCN(c2ccc(F)cc2)CC1
-19.003239,ZINC001171031119,Clc1cccc(Cn2cncc2CN[C@H]2CCc3c(Cl)cccc3C2)c1
-19.002136,ZINC001177520083,Fc1ccc(COc2cccc(CNCCN3CCCc4ccccc43)c2)cc1
-19.001387,ZINC000615455773,Cn1ccnc1[C@H](NC(=O)N[C@@H](c1ccc2c(c1)OCCO2)C1CC1)c1cccc(F)c1
-19.000788,ZINC001250786780,CCOC(=O)[C@H](Cc1cnc[nH]1)NC[C@H](O)COc1ccc(C(C)C)cc1
-18.999849,ZINC001469950656,COc1ccc(N2CCN(C(=O)/C=C\C(=O)NCCc3ccnc4ccccc34)CC2)cc1
-18.998171,ZINC000438023469,COc1cccc(N2CCC[C@@H](NC(=O)N[C@H]3C[C@@H]3c3ccccc3OC(F)F)C2)c1
