"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL1200612";"DIBUCAINE HYDROCHLORIDE";"CINCAINE CHLORIDE|CINCHOCAINE HYDROCHLORIDE|DIBUCAINE HCL|DIBUCAINE HYDROCHLORIDE|HEAVY SOLUTION NUPERCAINE|NSC-756724|NUPERCAINAL|Nupercaine";"Small molecule";"4.0";"379.93";"22";"37";"3.49";"54.46";"4";"1";"0";"10";"N";"0.67";"None";"9.04";"3.70";"2.05";"2";"MOL";"0";"25";"5";"1";"0";"343.2260";"-1.53";"BASE";"C20H30ClN3O2";"CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1.Cl";"IVHBBMHQKZBJEU-UHFFFAOYSA-N"
"CHEMBL1179047";"CHLOROPROCAINE";"2-CHLOROPROCAINE|CHLOROPROCAINE";"Small molecule";"4.0";"270.76";"5";"20";"2.42";"55.56";"4";"1";"0";"6";"N";"0.64";"None";"8.96";"2.48";"0.92";"1";"MOL";"0";"18";"4";"2";"0";"270.1135";"-1.31";"BASE";"C13H19ClN2O2";"CCN(CC)CCOC(=O)c1ccc(N)cc1Cl";"VDANGULDQQJODZ-UHFFFAOYSA-N"
"CHEMBL1769";"PROPOXYCAINE HYDROCHLORIDE";"Blockain Hydrochloride|NSC-760044|PROPOXYCAINE HCL|PROPOXYCAINE HYDROCHLORIDE|Propoxycaine Hydrochloride|Ravocaine Hydrochloride";"Small molecule";"4.0";"330.86";"7";"10";"2.56";"64.79";"5";"1";"0";"9";"N";"0.56";"None";"8.96";"2.60";"1.03";"1";"MOL";"0";"21";"5";"2";"0";"294.1943";"-1.01";"BASE";"C16H27ClN2O3";"CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC.Cl";"GITPCGSPKUQZTE-UHFFFAOYSA-N"
"CHEMBL1197";"HEXYLCAINE";"Cyclaine|HEXYLCAINE|Hexylcaine|OSMOCAINE";"Small molecule";"4.0";"261.36";"4";"8";"3.15";"38.33";"3";"1";"0";"5";"N";"0.83";"None";"9.87";"3.83";"1.43";"1";"MOL";"0";"19";"3";"1";"0";"261.1729";"-0.24";"BASE";"C16H23NO2";"CC(CNC1CCCCC1)OC(=O)c1ccccc1";"DKLKMKYDWHYZTD-UHFFFAOYSA-N"
"CHEMBL278172";"BENZOCAINE";"AEZODENT|ANAESTHESIN|ANTHISAN PLUS|AR-01|AR01|Americaine|BENZOCAINE|BENZOCAINUM|BURNEZE|Baby Anbesol|CHILDREN'S CHLORASEPTIC|DEQUACAINE|ETHYL AMINOBENZOATE|ETHYL P-AMINOBENZOATE|ETHYL PABA|FLAVAMED|LANACANE|MEDILAVE|NESTOSYL|NORCAINE|NSC-41531|NSC-4688|ORAJEL|PARATHESIN|PARATHESINE|SUBCUTIN|TYROSOLVEN|TYROZETS";"Small molecule";"4.0";"165.19";"129";"594";"1.45";"52.32";"3";"1";"0";"2";"Y";"0.53";"None";"2.78";"1.50";"1.50";"1";"MOL";"0";"12";"3";"2";"0";"165.0790";"-0.42";"NEUTRAL";"C9H11NO2";"CCOC(=O)c1ccc(N)cc1";"BLFLLBZGZJTVJG-UHFFFAOYSA-N"
"CHEMBL79";"LIDOCAINE";"ALGRX 3268|ALGRX-3268|Alphacaine|Anestacon|DENTIPATCH|Embolex|Iontocaine|LIDOCAINE|LIDOCAINUM|LIGNOCAINE|LMX 4|Lidocaine|Lidocaton|Lidoderm|Lidopen|Lignocaine HCl|Lignostab|NSC-40030|ORAQIX|Octocaine|SOLARCAINE|VAGISIL|XYLESTESIN|XYLODASE|XYLOTOX|Xylocaine|ZTLIDO";"Small molecule";"4.0";"234.34";"202";"1144";"2.58";"32.34";"2";"1";"0";"5";"N";"0.85";"13.78";"7.75";"2.84";"2.33";"1";"MOL";"0";"17";"3";"1";"0";"234.1732";"-1.69";"NEUTRAL";"C14H22N2O";"CCN(CC)CC(=O)Nc1c(C)cccc1C";"NNJVILVZKWQKPM-UHFFFAOYSA-N"
"CHEMBL1201193";"LEVOBUPIVACAINE";"(-)-BUPIVACAINE|(S)-BUPIVACAINE|BUPIVACAINE (-)-FORM|BUPIVACAINE, (-)-|BUPIVACAINE, (S)-|L-BUPIVACAINE|LEVOBUPIVACAINE|NOVABUPI";"Small molecule";"4.0";"288.44";"113";"504";"3.90";"32.34";"2";"1";"0";"5";"N";"0.89";"13.62";"8.00";"4.52";"3.82";"1";"MOL";"0";"21";"3";"1";"0";"288.2202";"-1.36";"NEUTRAL";"C18H28N2O";"CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C";"LEBVLXFERQHONN-INIZCTEOSA-N"
"CHEMBL698";"TETRACAINE";"AMETHOCAINE|AMETOP|Dicaine|Medihaler-Tetracaine|Metraspray|Pontocaine|TETRACAINE|Tetracaine";"Small molecule";"4.0";"264.37";"138";"706";"2.62";"41.57";"4";"1";"0";"8";"N";"0.58";"None";"8.42";"2.79";"1.74";"1";"MOL";"0";"19";"4";"1";"0";"264.1838";"-0.97";"NEUTRAL";"C15H24N2O2";"CCCCNc1ccc(C(=O)OCCN(C)C)cc1";"GKCBAIGFKIBETG-UHFFFAOYSA-N"
"CHEMBL370805";"COCAINE";"(R)-(-)-COCAINE|BENZOYLMETHYLECGONINE|COCAINE|COCAINUM|IDS-NC-004|NEUROCAINE|RX-0041|RX0041";"Small molecule";"4.0";"303.36";"40";"804";"1.87";"55.84";"5";"0";"0";"3";"N";"0.80";"None";"8.85";"2.28";"0.82";"1";"MOL";"0";"22";"5";"0";"0";"303.1471";"0.93";"BASE";"C17H21NO4";"COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C";"ZPUCINDJVBIVPJ-LJISPDSOSA-N"
"CHEMBL1200586";"PRILOCAINE HYDROCHLORIDE";"ASTRA 1512|CITANEST HYDROCHLORIDE|CITANEST PLAIN|CITANEST PLAIN DENTAL|Citanest|L-67|NSC-758432|PRILOCAINE HCL|PRILOCAINE HYDROCHLORIDE|PROPITOCAINE HYDROCHLORIDE|XYLONEST";"Small molecule";"4.0";"256.78";"24";"36";"2.32";"41.13";"2";"2";"0";"5";"N";"0.80";"13.51";"8.82";"2.68";"1.25";"1";"MOL";"0";"16";"3";"2";"0";"220.1576";"-1.49";"BASE";"C13H21ClN2O";"CCCNC(C)C(=O)Nc1ccccc1C.Cl";"BJPJNTKRKALCPP-UHFFFAOYSA-N"
"CHEMBL492";"ETIDOCAINE";"Duranest [as hydrochloride]|ETIDOCAINE|Etidocaine|W-19053|W-19053 [AS HYDROCHLORIDE]";"Small molecule";"4.0";"276.42";"10";"17";"3.75";"32.34";"2";"1";"0";"7";"N";"0.82";"13.62";"8.59";"4.46";"3.25";"1";"MOL";"0";"20";"3";"1";"0";"276.2202";"-1.39";"BASE";"C17H28N2O";"CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C";"VTUSIVBDOCDNHS-UHFFFAOYSA-N"
"CHEMBL1255654";"TETRACAINE HYDROCHLORIDE";"AMETHOCAINE HYDROCHLORIDE|ANETHAINE|BUTETHANOL|CURTACAIN|DICAINUM|LOCAN|MENONASAL|NSC-757337|PANTOCAINE|Pontocaine Hydrochloride|TETOCAINE|TETRACA|TETRACAINE HCL|TETRACAINE HYDROCHLORIDE|TETRACAINI HYDROCHLORIDUM";"Small molecule";"4.0";"300.83";"25";"58";"2.62";"41.57";"4";"1";"0";"8";"N";"0.58";"None";"8.42";"2.79";"1.74";"1";"MOL";"0";"19";"4";"1";"0";"264.1838";"-0.97";"NEUTRAL";"C15H25ClN2O2";"CCCCNc1ccc(C(=O)OCCN(C)C)cc1.Cl";"PPWHTZKZQNXVAE-UHFFFAOYSA-N"
"CHEMBL1194";"PRILOCAINE";"ASTRA-1512|ASTRA-1515|Citanest|NSC-40027|PRILOCAINE|PROPITOCAINE";"Small molecule";"4.0";"220.32";"117";"304";"2.32";"41.13";"2";"2";"0";"5";"N";"0.80";"13.51";"8.82";"2.68";"1.25";"1";"MOL";"0";"16";"3";"2";"0";"220.1576";"-1.49";"BASE";"C13H20N2O";"CCCNC(C)C(=O)Nc1ccccc1C";"MVFGUOIZUNYYSO-UHFFFAOYSA-N"
